user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
ChAWb1YpFQW3Ta1FGrl6TG1jjtAXQBkANPrLHFsZ,0,0,30,30,-1
chwq477ea1GP6dYD5ZxZ1MLBP2R0g2tl0eBu4yvt,1,0,60,60,1
CL5ECtcf28VVHhI1MFPzFlczU2YPqMYGXtiw423d,0,0,0,0,-1
CmOumvrCywr8PCBUf5q3ss3O4g5bEsZJvwCmdLg4,1,0,60,60,2
cmT67avjtrkK2qSLKPiv2nsxfBEO27OewGBHS6Ub,0,0,30,30,-1
CokYnXHWHincMOy2QNDfLWjJvcCg4bWVQ2UQClcE,8,1,1590,1110,-1
cVPOscBz2XiVosSjT8yuvi6r0RmfVnpj1OSybrti,1,0,60,60,-1
D3BbDqfTO3VksdPZF8ItFW86BhQeN266nQZdmcJF,2,0,120,120,1
DDeMzcxXSdMsJG2qlNML2xVQPZqLyouxJxislMDy,0,0,660,90,-1
dDJ3NTup8ZDRFkiFEdH0qwWVrCWep6OuOtxIHDnS,0,0,0,0,1
dF2upobNqmfKJcFm148fGFiZFPHCTMZevLhgrxGh,15,0,1080,1080,1
dH5NmZ6XZy2wzw4LBLKquTEL56nkBj2BNNVHQJ0K,2,0,120,120,2
DnfrqAfA8O0shQfVQEts5rq37NNa3jihRZRTs26v,0,0,30,30,2
DoWphLgJXOwsboYURdiBVqRnMaTjbbNbZkQVZciU,1,0,150,150,1
dseeMGsbqnv0SlKJ7IVZkWyVMLFPCLyrCAWuti8G,3,0,180,180,1
e08uolwjcFEWfbaXoZoH1kCPDTX1sWKFMt3HjI26,1,2,90,90,-1
eabmpbnNdeeYAZALmi1KQrfgRFfiUkolvgFa83Wh,0,0,0,0,-1
eCUQcMfVxd216EapTqKFjpAoaGnIETobDF8leqGd,2,0,390,210,1
ecVJKZM5ZYNcgb3UrH6XL1rafVLXTFpDfYX1Hmfr,2,0,150,150,2
EDLE7FJ0DeClPRlHMe7SxwN7gyfnItvVMfVOWs2H,2,0,90,90,1
eorhlgDiWhnZzz7qnojpTzJQTubUwgZpY6t6KKKy,1,0,120,120,-1
EQ6xVy6z3kjFhz8ewDIiKslhO8yXUAQSuXAKLpUY,1,0,90,90,-1
esSSl44v6FNHfUMiaZiPwHr7PwCggq3ycNxPuvK8,0,0,0,0,2
EyllMMRPJUlo5CDPyDXZm4UWxOAsxf8xw0ak7ZVw,3,0,240,240,2
