user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
5XcfmJvLnBnEJFc076AKQ0Sy2MvEptfTCvpeXIFQ,3,0,150,150,1
5Xpe0zxK7lbCzhidMgyaljEMT8Yy4ZnEyGc7tRna,1,0,60,60,1
60lGyypFYpHLjEMhh3q8OYuLFZPyly1xG4DKFHSZ,7,0,1560,1230,1
6EOqDws6rnofbx2CA67MiW5ZIxe4BbrtdyCFDeAQ,1,0,60,60,2
6HFJBH7XmT6PSeQVtR8USbiGjMupOW5E2nYD7d6g,16,0,1350,1350,2
6vhJCzVwFasJ2iGvhILYehaiNJlWoVW5pczzm8wb,2,0,5011170,180,1
6YzD0bAiVN3eXt8wRuQslNNaBcAE8E4oaiBUNfLU,2,0,180,180,2
71VfqFhjjysJpFZz3fpJFm7gUNJ8dMBAAI682431,2,0,150,150,1
7einQZlFb8Y03nMaWlCJsQN2r2pnSEXymWw0XGJ5,3,0,120,120,1
7Em74vd64yzqV4cY3xwFwicZiAxxaX4ooFKXXioL,5,0,270,270,2
7K2gI46FmIgtYWbs1WavRXTKtdPnHhsstdlhRyKY,1,0,60,60,1
7mF0syfJvtJHgWbHVyIBVS0rpTTAufkGjRLYtL36,4,0,270,270,1
7OfapJOEbrYF6KCY6YuAfp6LRK5clSO3agTM6xMd,0,0,0,0,1
7q8aKjtgxfdTnZypTsOWPySuHoDzivzZ7i1UudFH,1,0,90,90,1
7s6VsxwfmWaioOTSJ12kP2nV3ApuKNLlskr56l2j,4,0,510,210,2
7SUvstCif3lwQKWpFKuzgCM5qMIJJPoaSwmhrOXB,3,0,120,120,2
7TJQI5rAuoffAvCXNAGZKsUNLrgSlLnCE8l6Hy3o,2,0,150,150,2
83MWVVknOckHEdRgqfRbG7wZ2ZdyBKGZYcAyHVz1,0,0,0,0,1
85paLqoN1P3dajJAlEg4GuzprVD0P47qYZ0kh44S,1,0,30,30,1
8BS7c55IDyQltjtJQc7djVlucUAdoUC7FTF4i11M,14,0,1140,1110,1
8Cc0ZGxBciG76HsjsrJ16WWtk6giee1YM7sxYMDg,2,0,180,180,1
8G7sQIj6ueLckX38MK3PYrg2SLZsmytUgfVY3hoX,1,0,90,90,1
8qp3akxUrVb2sfYzfioZMl83zRPQuR6Xf8CvDccC,0,0,30,30,1
a0ygk8CHoVWZr4NZRYBkO5sFkcEsQpT47MCAwNDA,3,0,210,210,2
A14VNgTKL7uQrwpKYqzsyMNX55gmYSA3oR4q64Sy,0,2,0,0,2
A2RdHqkNpRzAGWDQBnR18igokV6FgMpvQ8d0nIi3,5,0,180,180,2
a4ELKg5O5tLfa68MyzCywqBE1qa7f7YWGKqvITBv,8,0,1410,1380,2
a6cwOcL5DniVXExZuleNrQOPpgCiz6AjOJ2AgjYh,5,0,270,270,1
A8SSqlGIYkhCWLyADSYWqgrZA6zxlF7kuyyZx8dV,5,0,240,240,1
AaepVf8kX1uO7aP0EoYSQ1VLrd3JfOJNGnfxG3a8,0,0,0,0,1
aBhlhXMnIC3fnxbpuKQQQfXqq2TPHXgrCmmaijl8,2,0,120,120,1
AbWAQkqRvnREbgjeIBbFoIP6oCpp3UzOsSTapUeQ,9,0,2490,1410,1
ACdrRkQglgdg4EZNhwRUPjaMHd0XnSdqVq0xTDH6,0,0,30,30,2
aD6E87breFxWOuJgqJxqDZXfnYsEvetwalUOvqTS,1,0,30,30,2
aD85IGKtah2nmFgChvsYIz6JyS4AuROdcjoOpfkl,0,0,30,30,2
ADbypBvAuO3NbvkpQqu3w4DwXi6DKbt3nQD6dZuo,2,0,120,120,1
ADzqmURHYjRoZUnhrBTArXHTYXEXnM8FXe1B5myD,3,0,120,120,2
Ag5kagXqwSaPSW41OmNxRuetcK65iVM0z5dhQA2R,3,0,150,150,1
ahAbsikUdnZZbekVrl053BCKpzwEpCQ4XlF1uNkj,1,0,60,60,1
aJGrjAIGIjErcaUhJ3GRENNinTiOnDL7XQ8qDvhd,3,0,120,120,2
AjTjhbdnjq7UNNgT445SP7RSSlbGA5Y2acLtN5BK,5,0,240,240,1
akdVXqF6pS3nzxVkpbSHEqhlDnPjZW7tGztCDOr2,0,1,0,0,1
aNH7FzrhOyOpDZ2XlxXdaEU4boqWjSSJvHcLx0a5,35,0,1530,1530,1
anQVRt6SnvsKUpyz1m6pIBD1WCQVT0RcuExi8GoD,1,0,60,60,2
APnVs7C2rVN6corWE3gr46c2jN6u0uoWZe7CFEl4,1,0,90,90,2
apVN0nnwd0gwBnIsLr80XOVNox4qjhi8TJIcOBXB,0,0,0,0,2
asq7wpFJYFfEy3VHWZPG75FF2cZpdt2T5ldQfhNv,9,15,390,390,1
AthNwSqTGbGQc3Z7VkEhxZlAgSQujU2Zi32jBRVL,5,0,240,240,1
aV4RxSkXoPPdCcGhPjWQx1GaoaYE5MavXSOHRUPM,2,0,120,120,1
AVKKaarbpuEP5VXLfXUJfNp3CEYidtOgI1QWOvsw,1,0,30,30,1
AWRezqCmashFPIvrjM8DDwJjyx0Q1ew5ib7naK7q,5,0,330,330,1
aXUq2Xs71Wo7qAjjcgbghPlnJbhFvUtv34w8glx2,6,0,210,210,1
AynduDgCpb28HdkDPGDU7k5dGZziMqqw6tT11nEv,0,0,0,0,2
aZWdZZNhCX6qG5VcpxcUbmywAaVogfTIMVxPoUWg,5,0,270,270,1
B2LXFsQRxHYXfbjSxnoV2ClHk1JzPxtv7YxYMjtx,3,0,120,120,1
b7aghcIBLUGNGKeivtrOzFsEHwmnDBE7sWgH3VSK,0,1,60,60,2
bAaUYiegmKtI8rUh4W7QDdKce2xjrUJGOwZ8Qi3a,1,0,60,60,1
BAO1AU4jHHrXzqzoFAFtYMyj5tdpVGmvnxOrtbaP,21,1,2280,2280,1
Baxl7OXXbDyskHxhY1Ww7h7pzoLIHKg5MZWJj2hO,2,0,120,120,1
BcK1lwEFCfT5qJRsfHY7jHAAKraA7FqnY2NVVBRa,1,0,90,90,2
BERE52vLp3SiohiC08VW8Ea02NMU5xiQ5aDKfxlw,1,0,90,90,1
BFgRR5n6yuA8KHbzNMzo6JdNPqSxIeUKy7Vy2WH6,5,0,270,270,2
Bg0LEUsza4kYyZx8I8hR063ghd3QABKdVeZdxGr8,0,0,30,30,2
bgHLOh5DXgTSjBpf41OX1WNacR0vDCzerWNp4Brk,1,0,90,90,1
BHq2nBVuROXrFIhcWEzPk7TLIRNK56XtZZeWzusA,0,0,30,30,2
BJwL2EQYtT2P1WYlhJZYI5y6s4nsXlxSxwINkSyM,3,0,180,180,1
BqP1r6IwcCv0pLBbMgp28SF6oKZezjUnMQFSiYeZ,1,0,3390,210,1
BRhtZJnswmum4M5Sfimm1oCRJQOz80m4BdZlUOhd,1,0,60,60,1
brkHkxyZhnyHHWHpTGavd3hT3ut1uLeuvhKCXm2D,0,0,60,60,2
